Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,,7899798.0,3096.0,,7886637.4,3383.9,,7830471.6,2.6,,4634454.7,2316.2
software/XSEngine,,2962909.8,2729.0,,2962930.1,2387.5,,2690140.1,<1,,2817294.5,3530.1
software/aaed2000,,3000771.1,2760.2,,3000316.8,2563.1,,2727860.5,<1,,2850010.0,3539.5
software/adder,,3002560.4,2232.7,,3002487.1,2692.9,,2738537.7,<1,,2868848.0,3566.5
software/adderII,,3012301.0,2428.2,,3012441.6,2906.2,,2764613.2,<1,,2881368.5,3509.2
software/aeb,,2816214.2,2419.0,,2815595.0,2230.0,,2540199.2,<1,,2679576.4,3502.4
software/aim711,,2963592.7,2453.9,,2963328.6,2020.5,,2691996.4,<1,,2825581.2,3533.2
software/aki3068net,,2835394.4,2652.6,,2835369.7,2958.1,,2589845.7,<1,,2709457.8,3293.9
software/am31_sim,,2724983.8,2451.5,,2724793.0,2365.9,,2492863.7,<1,,2617309.5,3493.5
software/asb,,2875431.8,2278.4,,2875109.3,1801.8,,2635904.9,<1,,2753497.1,3521.0
software/asb2305,,2880276.7,2502.9,,2879971.8,2413.0,,2634900.6,<1,,2763686.3,3286.5
software/assabet,,2914727.7,2377.3,,2914236.3,2195.9,,2619092.2,<1,,2763216.8,3542.0
software/at91sam7sek,,2963807.8,2786.1,,2963418.3,2458.7,,2692122.7,<1,,2832479.8,3483.6
software/at91sam7xek,,3044217.1,2516.4,,3044136.6,2567.6,,2754824.1,<1,,2905739.2,3569.2
software/atlas_mips32_4kc,,2854848.1,2841.0,,2854414.4,2889.4,,2617283.6,<1,,2726289.2,3489.3
software/atlas_mips64_5kc,,2837445.3,2804.7,,2837014.7,3148.0,,2578428.8,<1,,2706370.6,3380.8
software/axtls,,204297.7,1349.3,,204276.5,1330.0,,198119.1,<1,,204191.5,3192.3
software/brutus,,2835848.4,2919.8,,2835602.6,2706.8,,2580411.5,<1,,2710685.8,3520.3
software/buildroot,,1390292.1,2680.4,,1391447.5,2573.8,,1373933.8,<1,,1389557.9,2018.5
software/busybox_1_28_0,,2443417.2,3338.4,,2446207.4,2606.9,,2428491.8,<1,,2436068.0,2845.7
software/calm16_ceb,,2738031.2,2864.4,,2737725.7,2401.3,,2510352.0,<1,,2627860.2,3530.6
software/calm32_ceb,,2737961.2,2758.5,,2737947.2,2701.4,,2486395.2,<1,,2625712.1,3568.9
software/ceb_v850,,2787018.0,2874.8,,2786874.4,2469.6,,2552576.5,<1,,2669481.8,3285.2
software/cerf,,2971782.7,2955.7,,2971365.8,2610.5,,2683753.6,<1,,2823443.6,3314.0
software/cerfpda,,3009502.2,2939.9,,3009000.3,2400.1,,2717435.2,<1,,2862545.8,3468.6
software/cma230,,2820920.6,2574.5,,2820620.0,2580.0,,2562777.1,<1,,2695524.5,3343.9
software/cma28x,,2819612.4,2273.3,,2819421.1,2225.4,,2570303.0,<1,,2703326.8,3489.8
software/cme555,,2970194.2,2660.4,,2969554.5,2780.6,,2718418.8,<1,,2855426.2,3560.6
software/cq7708,,2867100.8,3225.4,,2867013.8,2460.0,,2646083.8,<1,,2723492.0,3513.5
software/cq7750,,2917568.6,2626.3,,2917347.9,2367.3,,2656297.4,<1,,2793727.1,3547.2
software/csb281,,2926242.6,2660.5,,2926077.3,3010.3,,2664811.7,<1,,2802281.0,3455.8
software/dreamcast,,2907766.6,2468.3,,2907666.5,3149.3,,2664941.5,<1,,2784117.7,3523.2
software/e7t,,2970209.0,2653.0,,2970182.7,2350.8,,2679765.8,<1,,2833876.4,3488.8
software/ea2468,,3085012.1,2899.1,,3084812.4,2577.6,,2813389.1,<1,,2924215.4,3277.5
software/eb40,,2880315.8,2764.1,,2879748.3,2473.0,,2599101.5,<1,,2755540.3,3434.5
software/eb40a,,2882878.7,2972.2,,2882572.2,2747.0,,2619694.7,<1,,2756873.0,3371.2
software/eb42,,2868564.8,2778.8,,2868387.1,2563.7,,2596619.8,<1,,2733392.9,3545.9
software/eb55,,2937598.6,2324.1,,2937521.1,2846.7,,2681164.0,<1,,2808044.9,3535.6
software/ebsa285,,2946375.8,2622.0,,2946210.8,2933.6,,2663910.5,<1,,2802438.5,3448.8
software/ec555,,2972800.0,2619.7,,2972212.8,2547.7,,2708250.5,<1,,2845221.0,3522.5
software/ecos-icse11,,2932825.0,2800.9,,2932704.8,3205.8,,2700130.2,<1,,2814595.2,3281.0
software/edb7xxx,,2905322.1,3129.3,,2904868.8,2134.8,,2617949.9,<1,,2768016.5,3530.3
software/edosk2674,,2806598.6,2750.6,,2806314.7,2514.5,,2588010.1,<1,,2691373.5,3481.5
software/embtoolkit,,4251608.0,3408.8,,4252563.6,3325.5,,4032903.6,<1,,4195380.7,3298.2
software/excalibur_arm9,,2856240.9,2964.4,,2855620.6,2384.2,,2586849.2,<1,,2708359.8,3404.0
software/fads,,2777608.6,2772.5,,2776960.0,2703.3,,2536451.8,<1,,2664164.3,3528.6
software/financial,,413958.0,2953.7,,413200.3,2427.0,,350606.2,<1,,410279.7,3453.4
software/flexanet,,2968081.3,3002.9,,2967771.9,2963.3,,2688144.8,<1,,2830946.8,3504.7
software/freebsd-icse11,,3295553.3,3280.4,,3300715.2,2765.9,,3175373.8,<1,,3208912.3,3431.1
software/frv400,,2919081.0,2289.9,,2918954.8,3022.2,,2694915.2,<1,,2781570.8,3525.1
software/gps4020,,2816940.6,2475.9,,2816418.6,2722.1,,2562431.2,<1,,2691996.9,3268.7
software/grg,,2905528.4,2310.9,,2905372.4,3137.0,,2644604.5,<1,,2768714.1,3531.2
software/h8300h_sim,,2750102.9,2559.5,,2749671.8,2428.8,,2520521.9,<1,,2635480.7,3353.7
software/h8max,,2822838.1,2973.2,,2822390.2,2914.2,,2574722.2,<1,,2704205.8,3555.1
software/h8s_sim,,2752429.8,2606.9,,2752093.0,2560.2,,2524086.0,<1,,2640598.5,3301.3
software/hs7729pci,,3028594.7,2841.9,,3028456.2,2414.2,,2774692.0,<1,,2869480.5,3446.2
software/innovator,,2940450.7,2657.5,,2940279.5,2305.9,,2662337.5,<1,,2779532.8,3510.9
software/integrator_arm7,,2950299.3,2407.8,,2950201.2,3016.3,,2691430.2,<1,,2821831.6,3431.1
software/integrator_arm9,,2959430.8,2708.4,,2959013.3,2736.7,,2671033.0,<1,,2776526.4,3400.7
software/ipaq,,2892635.0,2661.4,,2892124.3,3044.2,,2620620.2,<1,,2764200.2,3537.3
software/iq80310,,2952840.0,2221.8,,2952619.2,2496.3,,2682484.2,<1,,2820006.5,3544.3
software/iq80321,,2947953.9,2615.0,,2947917.5,2894.3,,2670768.8,<1,,2808207.6,3507.4
software/ixdp425,,2919085.6,2693.2,,2918824.9,2726.7,,2645305.5,<1,,2780864.1,3520.7
software/jmr3904,,2795438.8,2735.9,,2795067.0,2678.4,,2551387.3,<1,,2682087.2,3500.5
software/jtst,,2882849.6,3043.5,,2882555.8,2659.4,,2615326.3,<1,,2752571.5,3490.6
software/linux,,2835536.1,2918.5,,2835455.1,2180.4,,2571274.1,<1,,2709220.8,3257.5
software/lpcmt,,2905675.8,2882.0,,2905016.1,2150.6,,2644784.5,<1,,2771745.2,3454.0
software/m5272c3,,3103884.3,2713.4,,3103209.7,2708.8,,2826463.7,<1,,2951865.1,3269.2
software/mac7100evb,,2871399.8,2597.9,,2871342.8,2320.5,,2626594.3,<1,,2755688.5,3416.1
software/mace1,,2871682.0,2672.6,,2871363.2,2264.1,,2611594.5,<1,,2745298.8,3521.8
software/malta_mips32_4kc,,2894979.7,2545.6,,2894484.2,2583.1,,2648809.2,<1,,2767811.7,3563.1
software/malta_mips64_5kc,,2894955.0,2522.4,,2894253.8,2692.1,,2632774.2,<1,,2752731.6,3418.4
software/mb93091,,2938238.7,2830.6,,2938022.4,3054.6,,2681327.3,<1,,2769327.8,3504.3
software/mb93093,,2899050.8,2730.5,,2899241.4,2665.1,,2657177.4,<1,,2753590.8,3455.8
software/mbx,,3063860.6,2628.9,,3063452.2,2598.8,,2777416.1,<1,,2921485.1,3450.0
software/mcb2100,,2905487.2,2869.2,,2905141.4,2411.4,,2655910.2,<1,,2782478.6,3293.2
software/moab,,3010426.1,2604.3,,3009883.9,2430.2,,2739169.3,<1,,2869816.9,3284.1
software/mpc50,,2818777.4,2601.7,,2818582.7,2466.2,,2557621.4,<1,,2694093.0,3531.6
software/nano,,2986671.4,2944.6,,2986180.4,3253.6,,2683515.0,<1,,2834044.9,3504.5
software/npwr,,2950901.1,3042.3,,2950642.5,2256.9,,2679420.5,<1,,2805033.7,3249.5
software/ocelot,,2964162.2,2578.0,,2963525.2,3081.6,,2701651.5,<1,,2806329.9,3389.3
software/olpce2294,,2991220.7,2619.7,,2990794.0,2765.6,,2685537.8,<1,,2830956.9,3509.7
software/olpch2294,,2934130.9,2710.1,,2933682.2,2252.6,,2646257.3,<1,,2798657.4,3265.2
software/olpcl2294,,2988899.6,3143.0,,2988608.8,3071.3,,2703151.9,<1,,2842704.7,3470.6
software/p2106,,2905602.2,2867.6,,2905145.7,2424.9,,2643838.8,<1,,2780354.1,3536.0
software/pati,,2925161.4,3155.0,,2924687.5,2276.0,,2685099.4,<1,,2809383.2,3439.2
software/pc_i82544,,2962667.3,2534.8,,2962482.0,2585.6,,2695838.5,<1,,2829323.4,3284.0
software/pc_i82559,,2962650.8,2484.3,,2962488.5,2587.8,,2706938.8,<1,,2830996.4,3452.5
software/pc_rltk8139,,2981757.0,2906.1,,2981539.0,2889.6,,2710753.8,<1,,2835648.8,3330.0
software/pc_usb_d12,,2990605.1,2891.1,,2990149.3,2534.6,,2730211.2,<1,,2852646.5,3532.5
software/pc_vmWare,,2952292.9,2790.6,,2952646.9,2404.7,,2693635.5,<1,,2822571.4,3349.0
software/phycore,,2965207.6,2835.1,,2964887.4,2416.2,,2705804.8,<1,,2835458.2,3449.4
software/phycore229x,,3089695.2,2392.1,,3089566.3,2590.0,,2784215.1,<1,,2916664.9,3471.7
software/picasso,,2902303.1,2607.8,,2902447.5,2733.3,,2661683.3,<1,,2777075.1,3475.5
software/pid,,2853530.2,2806.6,,2852852.4,2207.2,,2607063.5,<1,,2730219.6,3515.2
software/prpmc1100,,2840676.7,2676.1,,2840573.5,2256.7,,2580874.5,<1,,2724677.2,3486.3
software/psim,,2765123.4,2550.3,,2764627.2,2446.3,,2535052.5,<1,,2653033.4,3511.1
software/rattler,,3132010.0,2495.1,,3131578.5,3051.3,,2871062.2,<1,,2991981.3,3500.9
software/ref4955,,2841642.9,3016.8,,2841022.0,2221.2,,2618221.7,<1,,2720223.1,3537.6
software/refidt334,,3001931.2,2617.8,,3001672.2,2947.0,,2714658.2,<1,,2864432.1,3408.9
software/sa1100mm,,2840813.6,2411.2,,2840598.1,2305.9,,2608285.8,<1,,2726636.2,3341.1
software/sam7ex256,,3044580.6,3087.2,,3043598.0,2647.0,,2757666.2,<1,,2894485.5,3463.5
software/se7751,,3009408.2,3092.5,,3009043.6,3071.4,,2753011.2,<1,,2874062.7,3502.0
software/sh4_202_md,,2942775.3,2498.1,,2942594.2,2061.3,,2674755.6,<1,,2800712.5,3394.4
software/sh7708,,2892784.8,2841.3,,2892742.1,2630.0,,2622502.7,<1,,2745783.5,3503.0
software/skmb91302,,2850469.8,2369.5,,2849864.5,2570.3,,2588329.4,<1,,2728010.1,3550.3
software/sleb,,2784806.1,2431.2,,2784715.6,2453.6,,2555462.6,<1,,2676861.1,3534.7
software/smdk2410,,2936225.1,2589.4,,2935705.9,2386.6,,2677920.2,<1,,2796890.6,3513.9
software/snds,,2842855.7,2627.8,,2842635.2,2846.1,,2584157.9,<1,,2714983.9,3528.8
software/sparc_erc32,,2735179.2,2450.2,,2734931.1,2760.5,,2516000.5,<1,,2623373.5,3367.0
software/sparc_leon,,2735053.3,2290.3,,2734715.6,2243.7,,2508927.2,<1,,2626635.2,3541.8
software/sparclite_sim,,2734997.2,2488.3,,2734686.3,2394.2,,2509114.5,<1,,2627037.8,3368.7
software/stb,,2929412.2,2417.8,,2929156.6,2433.5,,2659456.6,<1,,2804805.1,3422.8
software/stdeval1,,2782096.1,2676.9,,2781612.5,2700.7,,2549314.9,<1,,2665796.2,3522.1
software/stm3210e_eval,,2975113.7,2292.0,,2974844.2,2191.4,,2723083.1,<1,,2852170.5,3502.7
software/toybox,,437475.6,1490.8,,437479.2,1311.9,,437377.5,<1,,437447.2,1462.7
software/ts1000,,3073968.6,2841.0,,3073680.3,2176.1,,2813733.0,<1,,2944707.6,3349.9
software/ts6,,2935511.7,2489.4,,2935084.4,2850.1,,2673703.9,<1,,2806112.1,3559.2
software/tx39_sim,,2747567.3,2083.0,,2747245.9,2364.1,,2524590.8,<1,,2639982.8,3325.0
software/uClinux,,1515000.0,<1,,1515000.0,<1,,1515000.0,<1,,1515000.0,<1
software/uClinux-config,,13002980.3,2501.8,,13008860.1,2711.7,,12511840.6,14.3,,12593411.2,1672.7
software/uE250,,2904991.0,2440.1,,2905228.3,2801.5,,2633241.2,<1,,2768921.5,3407.6
software/vads,,2935512.7,2485.1,,2934834.6,3051.0,,2663085.9,<1,,2806061.8,3517.9
software/viper,,3077529.7,2924.6,,3077425.5,2282.6,,2803288.5,<1,,2939102.6,3516.6
software/vrc4373,,2910308.2,2696.5,,2909720.1,2026.7,,2666169.5,<1,,2791081.7,3368.4
software/vrc4375,,2964573.4,2731.7,,2964608.0,2809.5,,2694813.8,<1,,2829961.5,3555.1
