Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
software/at91sam7xek,,28088.2,<1,,29543.0,<1,,27559.4,<1
software/atlas_mips32_4kc,,26921.7,<1,,27671.3,<1,,26149.8,<1
software/atlas_mips64_5kc,,26415.1,<1,,27583.9,<1,,25821.1,<1
software/axtls,,2000.3,<1,,2012.2,<1,,1918.5,<1
software/brutus,,26428.4,<1,,27655.3,<1,,25367.0,<1
software/buildroot,,13684.7,<1,,13804.5,<1,,13751.5,<1
software/busybox_1_28_0,,23926.4,<1,,24299.5,<1,,23847.1,<1
software/calm16_ceb,,25312.3,<1,,26548.3,<1,,24542.5,<1
software/calm32_ceb,,25831.4,<1,,26617.7,<1,,24734.8,<1
software/ceb_v850,,26312.6,<1,,27219.0,<1,,25682.2,<1
software/cerf,,27649.6,<1,,28931.4,<1,,26570.9,<1
software/cerfpda,,27864.9,<1,,29316.7,<1,,27312.6,<1
software/cma230,,26412.0,<1,,27330.8,<1,,25409.5,<1
software/cma28x,,25857.3,<1,,27502.9,<1,,25422.8,<1
software/cme555,,27511.4,<1,,28788.3,<1,,26771.3,<1
software/cq7708,,26504.8,<1,,27953.1,<1,,26109.7,<1
software/cq7750,,27332.3,<1,,28455.3,<1,,25870.3,<1
software/csb281,,27228.1,<1,,28512.7,<1,,26302.6,<1
software/dreamcast,,26819.0,<1,,28145.0,<1,,26546.6,<1
software/e7t,,27616.1,<1,,28868.7,<1,,25980.1,<1
software/ea2468,,28624.3,<1,,30075.5,<1,,28116.1,<1
software/eb40,,26970.4,<1,,28084.9,<1,,25860.8,<1
software/eb40a,,27179.7,<1,,28027.1,<1,,26109.5,<1
software/eb42,,26869.3,<1,,27876.2,<1,,25639.9,<1
software/eb55,,27307.9,<1,,28589.7,<1,,26298.1,<1
software/ebsa285,,27362.7,<1,,28803.0,<1,,26325.2,<1
software/ec555,,27558.1,<1,,28900.5,<1,,26641.3,<1
software/ecos-icse11,,27283.0,<1,,28321.9,<1,,26325.9,<1
software/edb7xxx,,27321.6,<1,,28232.9,<1,,26292.2,<1
software/edosk2674,,26368.7,<1,,27462.2,<1,,25507.8,<1
software/embtoolkit,,40099.1,<1,,41065.7,<1,,40107.6,<1
software/excalibur_arm9,,26112.9,<1,,27604.0,<1,,25725.4,<1
software/fads,,26043.0,<1,,27011.3,<1,,25274.8,<1
software/financial,,3880.8,<1,,3896.9,<1,,3149.0,<1
software/flexanet,,27686.8,<1,,28874.8,<1,,26438.4,<1
software/freebsd-icse11,,31682.8,<1,,32441.2,<1,,30910.2,<1
software/frv400,,27067.2,<1,,28402.5,<1,,26340.2,<1
software/gps4020,,26390.4,<1,,27319.1,<1,,25260.1,<1
software/grg,,27413.2,<1,,28201.2,<1,,26349.5,<1
software/h8300h_sim,,25630.4,<1,,27062.4,<1,,24447.4,<1
software/h8max,,26302.7,<1,,27312.9,<1,,25418.9,<1
software/h8s_sim,,25937.7,<1,,26845.5,<1,,25220.9,<1
software/hs7729pci,,27974.7,<1,,29496.4,<1,,27312.0,<1
software/innovator,,27353.9,<1,,28627.8,<1,,26383.8,<1
software/integrator_arm7,,27272.2,<1,,28710.1,<1,,26448.8,<1
software/integrator_arm9,,27449.0,<1,,28688.4,<1,,26588.0,<1
software/ipaq,,26765.7,<1,,28210.4,<1,,26078.2,<1
software/iq80310,,27373.7,<1,,28715.0,<1,,26299.0,<1
software/iq80321,,27396.4,<1,,28589.5,<1,,26423.8,<1
software/ixdp425,,27630.1,<1,,28402.5,<1,,26505.0,<1
software/jmr3904,,26021.9,<1,,27095.1,<1,,25008.0,<1
software/jtst,,26775.0,<1,,27882.8,<1,,25794.1,<1
software/linux,,25966.0,<1,,27450.0,<1,,25344.5,<1
software/lpcmt,,27144.9,<1,,28237.4,<1,,26292.3,<1
software/m5272c3,,28968.4,<1,,30181.2,<1,,28124.7,<1
software/mac7100evb,,26482.6,<1,,27893.6,<1,,25970.3,<1
software/mace1,,26724.7,<1,,28009.8,<1,,25886.6,<1
software/malta_mips32_4kc,,27570.3,<1,,28328.4,<1,,26268.5,<1
software/malta_mips64_5kc,,26931.0,<1,,28183.4,<1,,26008.4,<1
software/mb93091,,27346.0,<1,,28509.0,<1,,26650.1,<1
software/mb93093,,27323.4,<1,,28304.1,<1,,26213.9,<1
software/mbx,,28159.1,<1,,29635.2,<1,,27065.4,<1
software/mcb2100,,26977.3,<1,,28391.3,<1,,26378.5,<1
software/moab,,27994.0,<1,,29184.7,<1,,26851.5,<1
software/mpc50,,26334.1,<1,,27528.0,<1,,25296.5,<1
software/nano,,27292.7,<1,,29021.1,<1,,25766.2,<1
software/npwr,,27770.0,<1,,28840.9,<1,,26683.9,<1
software/ocelot,,27543.1,<1,,28876.3,<1,,26593.5,<1
software/olpce2294,,27848.4,<1,,28997.5,<1,,26301.1,<1
